Block,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
202651,G48004100016061,480410016061,62,6
202652,G48004100016062,480410016062,63,6
202653,G48004100016071,480410016071,60,5
202654,G48004100016081,480410016081,58,5
202655,G48004100016082,480410016082,50,4
202656,G48004100017021,480410017021,71,7
202657,G48004100017022,480410017022,71,7
202658,G48004100017031,480410017031,73,7
202659,G48004100017032,480410017032,73,7
202660,G48004100017033,480410017033,73,7
202661,G48004100017041,480410017041,60,5
202662,G48004100017042,480410017042,60,5
202663,G48004100018011,480410018011,61,5
202664,G48004100018012,480410018012,57,5
202665,G48004100018013,480410018013,68,6
202666,G48004100018031,480410018031,52,4
202667,G48004100018032,480410018032,28,2
202668,G48004100018033,480410018033,55,5
202669,G48004100018041,480410018041,57,5
202670,G48004100019011,480410019011,53,4
202671,G48004100019012,480410019012,61,5
202672,G48004100019021,480410019021,60,5
202673,G48004100019022,480410019022,81,8
202674,G48004100019023,480410019023,58,5
202675,G48004100020011,480410020011,35,3
202676,G48004100020012,480410020012,25,2
202677,G48004100020061,480410020061,46,4
202678,G48004100020091,480410020091,18,1
202679,G48004100020092,480410020092,19,1
202680,G48004100020093,480410020093,12,1
202681,G48004100020101,480410020101,37,3
202682,G48004100020102,480410020102,8,1
202683,G48004100020111,480410020111,20,1
202684,G48004100020112,480410020112,32,2
202685,G48004100020141,480410020141,21,1
202686,G48004100020142,480410020142,28,2
202687,G48004100020161,480410020161,49,4
202688,G48004100020162,480410020162,22,1
202689,G48004100020171,480410020171, , 
202690,G48004100020181,480410020181,45,4
202691,G48004100020182,480410020182,45,4
202692,G48004100020191,480410020191,45,4
202693,G48004100020192,480410020192,42,3
202694,G48004100020201,480410020201,48,4
202695,G48004100020202,480410020202,48,4
202696,G48004100020211,480410020211,88,9
202697,G48004100020212,480410020212,41,3
202698,G48004100020221,480410020221,62,6
202699,G48004100020222,480410020222,50,4
202700,G48004100020223,480410020223,57,5
202701,G48004100020231,480410020231,61,5
202702,G48004100020232,480410020232,61,5
202703,G48004100020241,480410020241,77,7
202704,G48004100020242,480410020242,77,7
202705,G48004100020251,480410020251,46,4
202706,G48004100020252,480410020252,42,3
202707,G48004100020261,480410020261,22,1
202708,G48004100020262,480410020262,26,2
202709,G48004100021001,480410021001, , 
202710,G48004100021002,480410021002,62,6
202711,G48004100021003,480410021003, , 
202712,G48004109800001,480419800001, , 
202713,G48004309503001,480439503001,65,6
202714,G48004309503002,480439503002,69,6
202715,G48004309503003,480439503003,62,6
202716,G48004309503004,480439503004,68,6
202717,G48004309504001,480439504001,80,8
202718,G48004309504002,480439504002,87,9
202719,G48004309505001,480439505001,65,6
202720,G48004309505002,480439505002,54,4
202721,G48004309505003,480439505003,55,5
202722,G48004309505004,480439505004,64,6
202723,G48004309505005,480439505005,65,6
202724,G48004509502001,480459502001,97,10
202725,G48004509502002,480459502002,95,10
202726,G48004709501001,480479501001,95,10
202727,G48004709501002,480479501002,QDI,QDI
202728,G48004709502001,480479502001,97,10
202729,G48004709502002,480479502002,97,10
202730,G48004709502003,480479502003,97,10
202731,G48004709502004,480479502004,97,10
202732,G48004709502005,480479502005,97,10
202733,G48004909501001,480499501001,77,7
202734,G48004909501002,480499501002,58,5
202735,G48004909501003,480499501003,94,10
202736,G48004909502011,480499502011,63,6
202737,G48004909502012,480499502012,68,6
202738,G48004909502021,480499502021,81,8
202739,G48004909502022,480499502022,78,7
202740,G48004909502023,480499502023,82,8
202741,G48004909503001,480499503001,65,6
202742,G48004909503002,480499503002,77,7
202743,G48004909505001,480499505001,90,9
202744,G48004909505002,480499505002,90,9
202745,G48004909505003,480499505003,82,8
202746,G48004909506001,480499506001,95,10
202747,G48004909506002,480499506002,100,10
202748,G48004909506003,480499506003,100,10
202749,G48004909507001,480499507001, , 
202750,G48004909507002,480499507002,100,10
202751,G48004909508001,480499508001,99,10
202752,G48004909508002,480499508002,98,10
202753,G48004909508003,480499508003,98,10
202754,G48004909509001,480499509001,74,7
202755,G48004909509002,480499509002,70,7
202756,G48004909509003,480499509003,75,7
202757,G48004909509004,480499509004,82,8
202758,G48004909510001,480499510001,91,9
202759,G48004909510002,480499510002,91,9
202760,G48004909510003,480499510003,87,9
202761,G48004909511001,480499511001,73,7
