FIPS,National Risk Index - Score - Composite,Social Vulnerability - Score,Community Resilience - Score,Cold Wave - Hazard Type Risk Index Score,Drought - Hazard Type Risk Index Score,Hail - Hazard Type Risk Index Score,Heat Wave - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Score,Ice Storm - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Score,Riverine Flooding - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Score,Volcanic Activity - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Score,Winter Weather - Hazard Type Risk Index Score
48181001500,72.938,82.12000275,38.06000137,0,79.26080959,93.78775627,94.29434429,36.57149939,82.83796881,41.61472919,64.34834691,90.06683157,80.78414118,95.48827475,,83.51924083,95.20406222
48181001700,77.571,85.90000153,38.06000137,0,78.25120107,95.32535794,93.36441041,39.51016994,81.59711005,69.2796282,63.5253953,95.12676592,81.37872806,94.65109642,,86.57184988,95.61908386
48181001801,80.7175,61.56999969,38.06000137,0,88.80392903,97.68467869,93.21219617,45.29766239,81.82031778,42.08306024,67.73478678,92.52842125,85.30537982,95.71778528,,94.89487704,97.02706559
48181001802,62.0784,36.27000046,38.06000137,0,87.99648005,92.80668791,86.97260144,42.19943302,73.10200006,65.32562712,49.02012458,82.46563288,70.38362746,85.84288636,,93.87575513,93.20387195
48181001803,74.359,51.47000122,38.06000137,0,87.346002,97.32673738,92.8387956,43.90810652,81.28726247,44.30316392,64.95088644,78.4854683,84.15663797,94.99595681,,92.38215288,96.67982686
48181001901,76.2605,38.11000061,38.06000137,0,91.92075346,96.24340009,91.83870047,43.27451861,79.55446562,39.88559852,60.48634403,92.5307996,81.25148647,93.04214432,,94.00180754,95.91399895
48181001902,73.9048,52.31000137,38.06000137,0,90.84811873,95.33249298,89.40208343,41.3629111,76.38697172,44.16850384,51.78485865,91.14779052,77.22732246,89.14997859,,96.00675451,94.87703943
48181002000,69.4037,91.05999756,38.06000137,0,0,96.26123769,88.05237121,41.32418323,75.52351024,63.5667044,53.91950168,92.0551301,78.06331161,88.40317747,,29.01702897,95.23735908
48183000201,72.0556,80.20999908,25.94000053,0,0,75.10821481,83.13275936,51.05262343,69.94625393,0,86.34523239,76.80873329,95.3134662,97.99148552,,26.51025068,97.36003425
48183000202,71.1923,54.72999954,25.94000053,0,0,78.79465347,79.90415259,54.23450498,66.64072366,72.46022761,81.75011979,64.77548399,94.70936593,97.6930029,,85.93445274,97.98435047
48183000300,83.0614,65.90000153,25.94000053,0,0,80.32868763,88.43290682,55.68447632,75.85685336,67.5326223,92.48203162,89.13333016,97.57289635,99.41135899,,37.28297579,98.61223422
48183000401,78.9647,69.01000214,25.94000053,0,0,76.56495267,82.82952005,52.1896736,69.5556404,79.37198355,84.80833733,94.81639157,95.37768159,98.06640346,,29.14189221,97.63592256
48183000402,71.1887,69.90000153,25.94000053,0,0,74.58616753,80.72943919,50.71491643,67.37349115,79.88321516,81.65548634,87.48394615,94.26699329,97.14598297,,0,97.0900918
48183000501,73.3435,29.68000031,25.94000053,0,0,77.1119726,82.88541122,52.65595712,69.76122647,66.8879223,84.79156684,80.54036056,95.46924797,98.16034819,,36.2400704,97.75008324
48183000502,79.1431,59.06999969,25.94000053,0,0,73.03429577,84.99976217,49.41985655,71.97568211,0,87.86655486,94.69628502,95.79627075,98.32802169,,0,97.09841602
48183000601,67.356,27.79000092,25.94000053,0,0,72.10555106,80.59625172,48.80175979,67.08860759,0,82.14781984,78.50925177,93.88051182,96.72025876,,32.39428245,96.46577558
48183000602,66.998,31.98999977,25.94000053,0,0,70.93064739,77.73985635,47.93270646,64.09879879,51.7702437,78.15524677,89.52456833,92.47728678,95.09109071,,31.61418446,95.87237787
48183000700,82.6607,86.48999786,25.94000053,0,0,77.63283071,90.17980307,52.93634688,77.89509237,0,94.30522281,80.25258051,97.92132426,99.50887124,,45.85335109,98.3185083
48183000800,87.7063,95.94000244,25.94000053,0,0,77.19759311,93.37868049,52.5273806,82.34896766,57.1435381,97.27839003,83.56205109,98.89287923,99.77762451,,44.44536936,98.58845074
48183000900,84.2482,97.33999634,25.94000053,0,0,86.64201113,84.25533939,64.53766672,71.86848366,63.58100459,88.41878294,79.44394235,97.55743709,99.4922228,,67.37263949,99.37330543
48183001000,65.1441,94.59999847,25.94000053,0,0,71.7773391,80.29063407,48.50123155,66.81547182,0,82.98394825,53.86957142,93.7092708,96.53118014,,25.41739999,96.3694525
48183001100,83.0245,90.43000031,25.94000053,0,0,84.57047044,85.10322028,61.23960157,72.50286352,0,89.64542405,84.32312229,97.32554821,99.37330543,,47.74770489,99.14379489
48183001200,64.3617,88.48000336,25.94000053,0,0,68.20268278,79.40826714,45.82745961,65.80956856,0,82.17297556,81.18251439,92.91014603,95.50373401,,29.94815202,95.3182229
48183001300,79.3643,97.37000275,25.94000053,0,0,75.27113162,88.33896209,51.0820566,75.70119534,0,92.40536655,82.6095229,97.20068496,99.18303763,,34.99024878,97.82262284
48183001400,83.6429,80.65000153,25.94000053,0,0,82.42995767,83.94496504,58.19559122,71.19886047,53.65310135,87.26042166,94.95790325,96.65723255,99.04152595,,38.9501974,98.80606954
48183001500,82.8093,91.23000336,25.94000053,0,0,78.22860676,89.38662417,53.57768036,76.90240536,39.04784603,94.18064207,87.26275983,97.68824621,99.43395329,,54.88393664,98.33872425
